,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords,scores,idx
q309,"Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.)",Yes,No,,,28425,O,,sex/intimacy; descriptive,2,59
q308,"If you like someone a lot, do you usually ask them out?",Yes,No,,,37597,O,,descriptive,3,60
q294,Which is more important for a good match?,Having similar political beliefs,Having good sex,,,26731,O,,politics; preference; opinion; sex/intimacy,3,61
q28903,Which of these is likely to make you more nervous?,A promising first date,An important interview,,,44454,N,,descriptive; preference,3,62
q27239,It's your first date with someone you recently met. At the end she/he says 'I think I love you.',Scary,Sweet,,,31249,O,,opinion,2,63
q27164,Do you believe that men should be the heads of their households?,Yes,No,,,31355,O,,religion/superstition; opinion,4,64
q27,Which is a bigger deal for you?,Telling someone you really care,Oral sex,,,24749,O,,sex/intimacy,2,65
q26684,Are you the type of person to tell a homeless person to get a job?,Yes,No,,,26014,O,,descriptive,4,66
q220,Do you like to watch sports on television?,Yes,No,,,28763,O,,preference,2,67
q538,Would you ever record a video of yourself having sex?,Yes,No,,,25806,O,,sex/intimacy,1,68
q527,Is marriage a necessity for two people who love each other?,Yes,No,,,35270,O,,sex/intimacy; religion/superstition,3,69
q512,Do you like to dance?,Yes,No,,,23504,O,,preference,2,70
q501,Have you smoked a cigarette in the last 6 months?,Yes,No,,,57123,O,,descriptive,3,71
q499,Could you date someone who used anti-depressants?,Yes,No,,,26238,O,,sex/intimacy; preference,2,72
q491,What would be more likely to bother you in a relationship?,Not enough space,Not enough affection,,,31548,N,,sex/intimacy; preference; descriptive,3,73
q486,Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?,Welfare is mostly good,Welfare is mostly bad,,,24191,O,,politics,4,74
q463,"In your ideal sexual encounter, do you take control, or do they?",I take control,They take control,,,28517,O,,sex/intimacy,2,75
q442,"If you don't do anything at all for an entire day, how does that make you feel?",Good,Bad,,,41784,O,,descriptive,2,76
q434,Do you like loud concerts?,Yes,No,,,23610,O,,preference,2,77
q403,Do you enjoy discussing politics?,Yes,No,,,52369,O,,politics; preference; descriptive,4,78
q395,Is it okay for a girl to talk openly about her sexual exploits?,Yes,No,,,29264,O,,sex/intimacy; preference,2,79
q393,Is there a such thing as having had too many sex partners?,Yes,No,,,34232,O,,sex/intimacy,2,80
q963,Is foreplay necessary for good sex?,Yes,No,,,31118,O,,sex/intimacy,2,81
q898,"Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?",Yes,No,,,23078,O,,sex/intimacy; opinion,3,82
q838,"For you personally, is abortion an option in case of an accidental pregnancy?",Yes,No,,,44461,O,,politics; religion/superstition; opinion,4,83
q784,Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?,Yes,No,,,38166,O,,sex/intimacy; preference,3,84
q763,Do you believe in karma?,Yes,No,,,25417,O,,religion/superstition,2,85
q617,"If evil forces made you choose to either watch tv OR read books for the rest of your life, you would:",watch tv,read books,,,23014,N,,preference,2,86
q614,"If you could have brilliant skill at something, would you prefer:",something practical?,something fun?,,,35755,O,,preference,3,87
q605,"Would you date someone who was looking for true love - but no sex, at all, ever?",Yes,No,,,23360,O,,sex/intimacy,2,88
q594,Can anything be made the subject of a joke?,"Yes, anything can be funny in the right light.","No, some subjects should not be joked about.",,,36996,O,,politics; opinion,2,89
q577,How many dates does it take for a potential significant other to get a good sense of who you are as a person?,Less than five,More than five,,,24163,O,,sex/intimacy,2,90
q553,Do spelling mistakes annoy you?,Yes,No,,,53159,O,,preference,2,91
q546,Would you date a transgender person?,Yes,No,,,25729,O,,sex/intimacy; preference,2,92
q21,Do you enjoy meaningless sex?,Yes,No,,,31024,O,,sex/intimacy,2,93
q19737,Could you live a life full of traveling?,Yes,No,,,24187,O,,descriptive,2,94
q19365,"If you meet someone and they are everything you are looking for, except their body type, do you give them a chance?",Yes,No,,,25296,O,,preference,2,95
q18682,Do you think physical love is necessary for happiness in life?,Yes,No,,,26153,O,,opinion,2,96
q1172,Do you own any dice with more than six sides?,Yes,No,,,28736,O,,descriptive,1,97
q1158,"Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?",Yes,No,,,25211,O,,sex/intimacy; descriptive,4,98
q1133,Do you have rape fantasies?,Yes,No,,,28546,O,,sex/intimacy,1,99
q1119,Does your partner have to be an active reader?,Yes,No,,,30205,O,,preference,2,100
q1112,Do you like the taste of beer?,Yes,No,,,32538,O,,preference,1,101
q1099,Are you smarter than most people?,Yes,No,,,36529,O,,descriptive; cognitive,2,102
q1040,Receiving anal sex?,I like it / I think I might like it,I don't like it / I don't think I would like it,,,28476,O,,sex/intimacy,2,103
q1766,Is art important to you?,Yes,No,,,38244,O,,preference,2,104
q171,What's more important to you?,Your world,Your country,,,25571,O,,politics; preference,3,105
q165644,What's worse on a first date?,No physical attraction,Nothing to talk about,,,40161,O,,religion/superstition; descriptive,2,106
q158,Are you an aspiring actor/artist/writer or other creative type?,Yes,No,,,40052,O,,descriptive,2,107
q15744,Are you a pet person?,Yes,No,,,25704,O,,descriptive,2,108
q155,Would you ever seriously date someone twice your age?,Yes,No,,,26336,O,,preference,3,109
q15478,Do you like hickies?,Yes,No,,,25015,O,,sex/intimacy,1,110
q1497,Which would you rather choose: peace on Earth or loads of money?,Peace on Earth,Loads of money,,,23884,N,,politics; preference,2,111
q149,Which makes for a better relationship?,Passion,Dedication,,,49355,N,,sex/intimacy,3,112
q142,Is it possible to love someone you don't even like?,Yes,No,,,22947,O,,sex/intimacy; opinion,3,113
q4018,Are you happy with your life?,Yes,No,,,53625,O,,descriptive,2,114
q2457,Does spending Friday or Saturday night at home annoy you?,Yes,No,,,27772,O,,preference,3,115
q1830,What makes a better friend?,Quick wit and a mischievous smile,Compassionate nature and a shoulder to support you,,,23094,N,,preference; opinion,2,116
q1815,Could you date someone who already has children from a previous relationship?,Yes,No,,,46323,O,,preference,3,117
q1597,Would you consider sleeping with someone on the first date?,Yes,No,,,52509,O,,sex/intimacy; preference,2,118
q1454,"Do you enjoy outdoor activities such as camping, hiking or fishing?",Yes,No,,,35889,O,,preference,2,119
q1440,Is jealousy healthy in a relationship?,Yes,No,,,51882,O,,opinion,3,120
q1387,"Would you ever engage in a sexual activity you didn't enjoy, just because your partner did?",Yes,No,,,25029,O,,sex/intimacy,2,121
q1375,Are geeks sexy?,Yes,No,,,26971,O,,sex/intimacy; preference; opinion,2,122
q13130,"Hypothetically, do you think you would be good at being a porn star?",Yes,No,,,23277,O,,sex/intimacy; descriptive,1,123
q1290,Do you feel like you're still hurting from something that happened to you a long time ago?,Yes,No,,,26085,O,,descriptive,4,124
q12584,Do you enjoy exercise?,Yes,No,,,27664,O,,descriptive,2,125
q445141,Which superpower would you rather have?,Flight,Invisibility,,,37000,N,,preference,2,126
q358084,Do you enjoy intense intellectual conversations?,Yes,No,,,54696,O,,descriptive,3,127
q358077,Could you date someone who was really messy?,Yes,No,,,55695,O,,preference,2,128
q358014,Could you date someone who was really quiet?,Yes,No,,,48415,O,,preference,2,129
q313640,Were you picked on a lot in school?,Yes,No,,,34128,O,,descriptive,3,130
q8054,Have you ever been in love?,Yes,No,,,34876,O,,sex/intimacy; descriptive,2,131
q7077,Which is better: sex without sleeping together or sleeping together without sex?,Sex,Sleeping,,,28853,N,,sex/intimacy,2,132
q6971,Is VERY short hair on a girl necessarily unattractive?,Yes,No,,,22956,O,,preference; opinion,1,133
q6867,Would you enjoy a night in playing video games?,Yes,No,,,28537,O,,preference,2,134
q6537,Could you live without the Internet?,Yes,No,,,26252,O,,descriptive,2,135
q6347,Do you believe in miracles?,Yes,No,,,26723,O,,religion/superstition; descriptive,2,136
q6258,Would you date someone who is bisexual?,Yes,No,,,33111,O,,sex/intimacy; preference,3,137
q6111,Do overweight people annoy you?,Yes,No,,,26093,O,,descriptive; preference; opinion,3,138
q6040,Were you born the same gender as you are now?,Yes,No,,,25650,O,,descriptive,4,139
q5417,Would you date someone who still lives with his/her parents?,Yes,No,,,31215,O,,preference,4,140
q179268,Are you either vegetarian or vegan?,Yes,No,,,54202,O,,politics; descriptive,3,141
q170849,Do you Google someone before a first date?,Yes. Knowledge is power!,No. Why spoil the mystery?,,,39621,O,,descriptive; technology,2,142
q156918,Do you practice Hinduism?,Yes,No,,,27416,O,,religion/superstition; descriptive,4,143
q156917,Are you an Atheist?,Yes,No,,,23359,O,,descriptive,4,144
q156915,Are you a Buddhist?,Yes,No,,,28093,O,,religion/superstition; descriptive,4,145
q156914,Are you Jewish?,Yes,No,,,32303,O,,religion/superstition; descriptive,5,146
q156913,Are you Christian?,Yes,No,,,40611,O,,religion/superstition; descriptive,5,147
q84910,Would it bother you if someone you are dating has a lot of close friends of the opposite sex?,Yes.,No.,,,24726,O,,descriptive,3,148
q84023,Could you live the rest of your life without drinking alcohol?,Yes.,No.,,,24839,O,,descriptive,3,149
q83646,Would you consider living with a partner who does not want any pets?,Yes.,No.,,,32223,O,,descriptive,3,150
q13669,Would you date someone shorter than you?,Yes,No,,,25579,O,,preference,2,151
q13086,Would you date a single parent?,Yes,No,,,27359,O,,preference,3,152
q13054,What do you think of laws that make smoking illegal in bars and restaurants?,I support the laws,I oppose the laws,,,31143,O,,politics,4,153
q12964,Would you need to sleep with someone before you considered marrying them?,Yes,No,,,50115,O,,sex/intimacy; preference,3,154
q9522,Would you date someone who has never been in any kind of relationship before?,Yes,No,,,26425,O,,preference,3,155
q82263,Would being in the same room with a couple of friends who are having sex bother you?,Yes.,No.,,,27995,O,,sex/intimacy; descriptive,2,156
q81847,Would you date someone who has cold-sores (oral herpes)?,Yes.,No.,,,22945,O,,preference; descriptive,2,157
q81307,Have you ever had sex with a person within the first hour of meeting them?,Yes.,No.,,,28991,O,,sex/intimacy; descriptive,2,158
q80041,Are you looking for a partner to have children with?,Yes,No,,,40026,O,,descriptive,4,159
q72086,"If your partner needed lovemaking to always be gentle, would you be fine with this?",Yes.,No.,,,32810,O,,sex/intimacy,2,160
q15839,Do you often find yourself wanting to chuck it all and go to live on a sailboat?,Yes,No,,,24352,O,,descriptive,2,161
q15372,Could you date someone who has strong political opinions that are the exact opposite of yours?,Yes,No,,,28929,O,,politics; preference,3,162
q15280,Could you date someone with no long-term goals?,Yes,No,,,31581,O,,preference,3,163
q15182,Which is worse?,Someone who is always happy,Someone who is always sad,,,22957,O,,opinion,2,164
q15037,"If someone asked you, 'What's the worst thing you've ever done?' would you know the answer right away?",Yes,No,,,28810,O,,descriptive,2,165
q14913,Did you join OkCupid just so you could find people to have sex with?,Yes,No,,,39790,O,,sex/intimacy; descriptive,2,166
q69912,"Other things being equal, would you be more attracted to an artist or a scientist?",Artist,Scientist,,,24827,O,,preference,2,167
q68580,"After dating someone for a while, you finally get to see where they live. He/she leaves you alone to go take a quick shower. Would you snoop?",Yes.,No.,,,23502,O,,descriptive,2,168
q68401,Could you fall in love with someone you have only talked to online?,Yes.,No.,,,28370,O,,descriptive,2,169
q67821,Would it bother you if your partner kept pictures of previous partner(s)?,Yes.,No.,,,29581,O,,descriptive,2,170
q65043,Do you own any sexy underwear?,Yes.,No.,,,23327,O,,descriptive,1,171
q62254,"If it were legal to do so where you live, would you smoke marijuana?",Yes.,No.,,,34257,O,,descriptive,3,172
q61786,Would you consider dating someone whose religion or spirituality is the primary focus in their life?,Yes,No,,,33979,O,,religion/superstition,4,173
q60852,Do you believe that regular sex is necessary in maintaining a healthy relationship?,Yes,No,,,32953,O,,sex/intimacy; opinion,2,174
q60100,Is astrological sign at all important in a match?,Yes,No,,,55643,O,,religion/superstition,1,175
q59457,Are you okay with people who grow marijuana for their own personal use?,Yes.,No.,,,36553,O,,politics,2,176
q58812,Would you consider roleplaying out a rape fantasy with partner who asked you to?,Yes.,No.,,,29249,O,,sex/intimacy,1,177
q57717,Do you feel that having sex with someone you have known less than one year would be too soon?,Yes.,No.,,,29322,O,,sex/intimacy; opinion,3,178
q55980,Would you like to be the supreme ruler of all people on Earth?,Yes.,No.,,,23410,O,,preference,2,179
q18692,Do you have an ex that you would really like to date again?,Yes,No,,,31366,O,,sex/intimacy; descriptive,2,180
q18644,Does your ideal schedule involve staying up very late at night and sleeping during the day?,Yes,No,,,23080,O,,preference,2,181
q18619,Have you ever had a sexual relationship with someone you met online?,Yes,No,,,23146,O,,sex/intimacy; descriptive,2,182
q18125,Do you believe that there exists a statistical correlation between race and intelligence?,Yes,No,,,25980,O,,politics; cognitive,4,183
q17168,Could you date someone who wasn't sure what they wanted to do with their life?,Yes,No,,,24782,O,,preference,3,184
q16713,Are you careful with your money?,Yes,No,,,39863,O,,descriptive,3,185
q55355,Do you have a problem with people who wear fur clothing?,Yes.,No.,,,24055,O,,politics,2,186
q55264,Do you think that a person's musical preferences are a good indicator of intelligence?,Yes.,No.,,,24782,O,,opinion,2,187
q50755,Do you believe that everything happens for a reason?,Yes.,No.,,,28223,O,,religion/superstition,2,188
q50483,Do you consider astrology to be a legitimate science?,Yes.,No.,,,24653,O,,religion/superstition,3,189
q50379,"Imagine being all alone in the great outdoors, miles from anyone, with no communication device.  Nobody knows where you are.",This is something I would like.,This is something I would avoid.,,,26241,O,,descriptive,2,190
q48770,Would it ever be okay to break up with someone by email or text?,Yes.,No.,,,23313,O,,opinion,2,191
q48372,Do you believe in the power of prayer?,Yes,No,,,34783,O,,religion/superstition,4,192
q48347,Do you think you could ever enjoy being humiliated as part of a sexual experience?,Yes,No,,,29201,O,,sex/intimacy,1,193
q48328,Do you believe that money can buy happiness?,Yes.,No.,,,26485,O,,opinion,2,194
q47764,Do you think it is possible for someone to be an Atheist and still have a solid moral framework by which to live?,Yes.,No.,,,31211,O,,religion/superstition,4,195
q47635,Imagine you have a partner who is able to provide financially for you and any children.  Would you consider taking a stay-at-home role?,Yes.,No.,,,23885,O,,preference; descriptive,3,196
q19893,Is a tongue stud a turn-on?,Yes,No,,,23472,O,,sex/intimacy; preference,1,197
q19854,Are sex and intimacy the same thing?,Yes,No,,,29800,O,,sex/intimacy; opinion,2,198
q19681,Are some sex acts with consenting adults inherently wrong or immoral?  Assume no unusual risk of injury.,Yes,No,,,27949,O,,sex/intimacy; religion/superstition,2,199
q19392,Have you ever written something on the wall of a public toilet?,Yes,No,,,28999,O,,descriptive,2,200
q19075,Would you date someone who doesn't own a car?,Yes,No,,,28928,O,,preference,3,201
q19011,Do you have a TV in your bedroom?,Yes,No,,,25467,O,,descriptive,2,202
q18955,Would you date someone who's smart but achieved nothing in life?,Yes,No,,,24118,O,,preference,3,203
q18843,Are you a good liar?,Yes,No,,,29472,O,,descriptive,1,204
q46856,Do you prefer the people in your life to be simple or complex?,Simple,Complex,,,30997,O,,preference,2,205
q46403,Could you date someone who needs a great deal of alone time?,Yes.,No.,,,33397,O,,preference,2,206
q46176,Is it possible for someone to really be 'too nice'?,Yes.,No.,,,24783,O,,opinion,2,207
q45645,Have you ever faked an orgasm during sex?,Yes.,No.,,,23016,O,,sex/intimacy; descriptive,2,208
q45006,Imagine you have a significant other who reveals they have a video of a sexual encounter from a prior relationship and offers to show it to you.  Would you want to see it?,Yes.,No.,,,28956,O,,sex/intimacy; preference,2,209
q44639,Do you like scary movies?,Yes,No,,,54964,O,,preference,2,210
q44540,"If you were in a serious relationship, would you mind if your significant other maintained an active profile on OkCupid?",Yes - I would mind this.,No - This would not bother me.,,,23911,O,,preference; descriptive,2,211
q42524,"Would you ever consider having a friendship based primarily on sex, with no intentions for love, romance, or long-term commitment?",Yes.,No.,,,24624,O,,sex/intimacy; preference; descriptive,2,212
q20950,People who throw cigarette butts out of their car window...,Are not doing any real harm,Are being insensitive and/or rude,,,23987,N,,opinion,3,213
q20530,"When chatting with a potential friend/significant other online, is use of proper grammar and spelling important to you?",Yes,No,,,30682,O,,preference,3,214
q20240,"What is worse, being poor or alone?",Poor,Alone,,,26654,N,,opinion,4,215
q19919,"Would you prefer to have one true love forever, or lots of fun and meaningful relationships?",One true love,Lots of relationships,,,24947,O,,sex/intimacy; preference,3,216
q40944,Do you have a checklist of mandatory traits that you absolutely require in any significant other?,Yes.,No.,,,27473,O,,preference; descriptive,3,217
q40570,"Is it more important to you that you are tactful, or truthful?",Tactful,Truthful,,,27327,O,,preference,3,218
q39714,Do you find the idea of shaving a partner's pubic hair exciting?,Yes.,No.,,,24479,O,,sex/intimacy,1,219
q38838,Have you ever had sex with someone you first met online?,Yes.,No.,,,26290,O,,descriptive,2,220
q38767,Is it okay for men to wear makeup?,Yes,No,,,29029,O,,opinion,2,221
q38320,Is it generally acceptable to you for a sex partner to initiate foreplay while you are sleeping?,Yes.,No.,,,26301,O,,sex/intimacy,2,222
q37708,The idea of gay and lesbian couples having children is:,Acceptable.,Not acceptable.,,,37661,O,,politics; religion/superstition; opinion,3,223
q21527,Do you feel there are any circumstances in which a person is obligated to have sex with you?,Yes,No,,,30992,O,,sex/intimacy; opinion,1,224
q33870,"Would the fact that a partner insisted you were perfect (had no faults) and refused to acknowledge your shortcomings, bother you?",Yes,No,,,24973,O,,descriptive,3,225
q31055,Would you date someone who kept a gun in the house?,Yes,No,,,31549,O,,preference,3,226
q28902,Would you consider a serious relationship with someone who couldn't have or produce children?,Yes,No,,,24528,O,,descriptive; preference,4,227
q27794,Would you date someone who was always optimistic?,Yes,No,,,24852,O,,preference,2,228
q27477,Do you often find yourself worrying about things that you have no control over?,Yes,No,,,33120,O,,descriptive,3,229
q27243,I find myself in fights with authority figures...,Often,Rarely / never,,,28814,O,,descriptive,3,230
q26557,You're dating someone new. You discover that they have a housemate the same sex as you. This:,Makes you feel uncomfortable,Doesn't faze you one bit,,,33640,O,,descriptive,3,231
q26529,Have you ever taken any pills hoping they would help you lose weight?,Yes,No,,,24733,O,,descriptive,3,232
q25228,Do you think drug use with your partner can be a romantic activity?,Yes,No,,,37188,O,,sex/intimacy; preference; opinion,2,233
q24748,Would you date a comic book geek?,Yes,No,,,22921,O,,preference; descriptive,2,234
q24125,Do you believe contraception is morally wrong?,Yes,No,,,48530,O,,religion/superstition,4,235
q23834,Do you often make jokes that offend more uptight people?,Yes,No,,,44922,O,,descriptive,2,236
q68185,Would you enjoy going fishing with your partner?,Yes.,No.,,,22869,O,,preference,1,237
q64,Which is more important in a healthy relationship?,Maintaining privacy,Total openness,,,24393,O,,sex/intimacy,3,238
q62455,Are you a workaholic?,Yes.,No.,,,23967,O,,descriptive,3,239
q54016,Are you afraid of falling madly in love?,Yes.,No.,,,23850,O,,descriptive,2,240
q76,Are you a morning person?,Yes,No,,,27218,O,,descriptive,2,241
q74,Do you spend more money on clothes or food?,Clothes,Food,,,33168,N,,preference,3,242
q73,Would you rather live in the big city or a small town?,Big city,Small town,,,28084,O,,preference,3,243
q71,Is interracial marriage a bad idea?,Yes,No,,,32492,O,,politics,5,244
q70,Do you think homosexuality is a sin?,Yes,No,,,48983,O,,religion/superstition,4,245
q65,Do you have a problem with racist jokes?,Yes,No,,,38041,O,,preference,4,246
q63,Which word describes you better?,Private,Social,,,23765,O,,descriptive,2,247
q57,Do you like to argue?,Yes,No,,,33896,O,,preference,2,248
q56,Are you attracted to dangerous situations?,Yes,No,,,39510,O,,preference,2,249
q55,Does the idea of flipping a coin to make important life decisions appeal to you?,Yes,No,,,34393,O,,preference,2,250
q49,Which word describes you better?,Carefree,Intense,,,49827,N,,descriptive,3,251
q32,Group sex (with 3 or more people):,I have tried it.,It seriously interests me.,I have little or no interest.,,32816,O,,sex/intimacy,2,252
q78,"Generally, do you enjoy being drunk?",Yes,No,"I don't know, because I've never been drunk.",,30487,M,[3],preference,2,253
q23507,"Could you date someone who never, ever, threw anything away?","Yes, junk is cool",No,I don't know,,24090,O,"2, 3, 1",preference,2,254
q24282,"Outside of work and school, how inclined are you to investigate something that interests you?",Very inclined,Somewhat inclined,Not inclined,,35888,O,,descriptive,3,255
q24333,Are you squeamish about sharing food or beverages with the person you're dating?,Yes,No,Only at first,,27513,O,"2, 3, 1",descriptive,2,256
q25294,"Would you date someone who was currently in a relationship, knowing that you would 'be a secret?'","Sure, why not?",Depends on the person.,Absolutely NOT.,,25829,O,,preference,4,257
q323,How confident are you in your sexual abilities?,Super confident,Confident,Not really confident,,31389,O,,sex/intimacy; descriptive,2,258
q338,How does your maturity level compare with most people your age?,I'm more mature,I'm average,I'm less mature,,29286,O,,descriptive,3,259
q365,"How much would you enjoy hosting a big, crazy party?",A lot,Not that much,Not at all,,23047,O,,preference; opinion,2,260
q179,Who's smarter on average?,Men,Women,"Neither, they're the same on average",,23841,O,"1, 3, 2",opinion,2,261
q234,Does fashion matter to you?,A lot,A little,Not at all,,26847,O,,preference,2,262
q35276,How much communication is ideal during sex?,A lot! It's all about the talk.,Just enough to get things right.,None. Shut up so I can concentrate.,,28451,O,,sex/intimacy,2,263
q366,"When you're not in a serious relationship, what do you prefer?",Dating multiple people at once,Dating one person at a time,"I only have serious relationships, I don't 'date'",,25073,O,,preference,3,264
q36790,Let's say you are in line at a grocery store and have many items.  The person behind you just has only one or two.  Do you offer to let them go ahead of you?,Yes.  Always.,"Yes, unless I am otherwise in a hurry.",No.  Never.,,27742,O,,descriptive,4,265
q38051,How often do you gamble?,Often.,Rarely.,Never.,,27266,O,,descriptive,3,266
q38173,Do you enjoy watching educational programming on television?,"Yes, often.","Yes, on occasion.","No, never.",,25991,O,,descriptive,2,267
q637,Have you ever had sex in a place where there was a high risk of being caught?,Yes,"No, but it sounds like fun","No, I don't think I could do it",,28379,O,,sex/intimacy; preference; descriptive,1,268
q411,"Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?",Yes,No,Unsure,,33037,O,"1, 3, 2",religion/superstition,4,269
q531,"Would you rather play Scrabble, go out dancing, or get drunk?",Scrabble,Dancing,Booze,,29621,N,,preference,2,270
q26841,How frequently do you go out of your way to make others feel appreciated?,Way more than average,About average,Less than average / Never,,32376,O,,descriptive,2,271
q27672,Commitment to personal growth is:,For wimps.,Critically important.,Sort of important,,28053,O,"2, 3, 1",opinion,3,272
